course_id,semester,name,roomcode,buildingname,start,end
0017,19W,K1b KMU-Management: Entrepreneurial KMU-Management,TC.3.03,TC,2019-10-14T12:00:00,2019-10-14T16:00:00
0017,19W,K1b KMU-Management: Entrepreneurial KMU-Management,D5.1.002,D5,2019-10-21T08:30:00,2019-10-21T12:30:00
0017,19W,K1b KMU-Management: Entrepreneurial KMU-Management,TC.4.15,TC,2019-10-28T09:00:00,2019-10-28T13:00:00
0017,19W,K1b KMU-Management: Entrepreneurial KMU-Management,TC.3.12,TC,2019-11-04T09:00:00,2019-11-04T13:00:00
0017,19W,K1b KMU-Management: Entrepreneurial KMU-Management,D3.0.233,D3,2019-11-11T10:00:00,2019-11-11T12:00:00
0018,19W,K1c KMU-Management: Entrepreneurial KMU-Management,LC.2.400 Clubraum,LC,2019-10-02T09:30:00,2019-10-02T11:30:00
0018,19W,K1c KMU-Management: Entrepreneurial KMU-Management,D3.0.218,D3,2019-10-16T09:00:00,2019-10-16T13:00:00
0018,19W,K1c KMU-Management: Entrepreneurial KMU-Management,D3.0.218,D3,2019-10-23T09:00:00,2019-10-23T13:00:00
0018,19W,K1c KMU-Management: Entrepreneurial KMU-Management,D3.0.218,D3,2019-10-30T09:00:00,2019-10-30T13:00:00
0018,19W,K1c KMU-Management: Entrepreneurial KMU-Management,D3.0.218,D3,2019-11-06T09:00:00,2019-11-06T13:00:00
0018,19W,K1c KMU-Management: Entrepreneurial KMU-Management,D3.0.218,D3,2019-11-13T09:00:00,2019-11-13T13:00:00
0018,19W,K1c KMU-Management: Entrepreneurial KMU-Management,TC.2.02,TC,2019-11-20T09:00:00,2019-11-20T11:30:00
0019,19W,KonsumentInnenverhalten,TC.5.18,TC,2019-10-14T08:00:00,2019-10-14T10:00:00
0019,19W,KonsumentInnenverhalten,TC.5.28,TC,2019-10-21T08:00:00,2019-10-21T10:00:00
0019,19W,KonsumentInnenverhalten,TC.5.28,TC,2019-11-04T08:00:00,2019-11-04T10:00:00
0019,19W,KonsumentInnenverhalten,TC.5.28,TC,2019-11-11T08:00:00,2019-11-11T10:00:00
0019,19W,KonsumentInnenverhalten,TC.5.28,TC,2019-11-18T08:00:00,2019-11-18T10:00:00
0019,19W,KonsumentInnenverhalten,TC.5.28,TC,2019-11-25T08:00:00,2019-11-25T10:00:00
0019,19W,KonsumentInnenverhalten,TC.5.28,TC,2019-12-02T08:00:00,2019-12-02T10:00:00
0019,19W,KonsumentInnenverhalten,TC.5.28,TC,2019-12-09T08:00:00,2019-12-09T10:00:00
0019,19W,KonsumentInnenverhalten,TC.5.28,TC,2019-12-16T08:00:00,2019-12-16T10:00:00
0019,19W,KonsumentInnenverhalten,TC.5.28,TC,2020-01-13T08:00:00,2020-01-13T10:00:00
0019,19W,KonsumentInnenverhalten,TC.5.28,TC,2020-01-20T08:00:00,2020-01-20T10:00:00
0019,19W,KonsumentInnenverhalten,TC.2.03,TC,2020-01-27T08:00:00,2020-01-27T10:00:00
0020,19W,Text Analysis for Marketing,D2.0.392,D2,2019-10-17T17:00:00,2019-10-17T19:00:00
0020,19W,Text Analysis for Marketing,D2.0.392,D2,2019-10-24T17:00:00,2019-10-24T20:00:00
