pid,name,date_of_birth,date_of_death
85724,Franz Beer,1659-07-03T00:00:00Z,1726-01-19T00:00:00Z
62789,Albert Speer,1934-07-29T00:00:00Z,2017-09-15T00:00:00Z
86479,August Orth,1828-07-25T00:00:00Z,1901-05-12T00:00:00Z
86479,August Orth,1828-07-25T00:00:00Z,1901-05-11T00:00:00Z
86782,Johann Gregor Memhardt,1607-01-01T00:00:00Z,1678-01-01T00:00:00Z
86616,Karl Ehn,1884-11-01T00:00:00Z,1959-07-26T00:00:00Z
86463,Franz Ludwig von Cancrin,1738-01-01T00:00:00Z,1812-01-01T00:00:00Z
86463,Franz Ludwig von Cancrin,1738-01-01T00:00:00Z,1816-01-01T00:00:00Z
62629,Adolf Meyer,1881-06-17T00:00:00Z,1929-07-14T00:00:00Z
71408,Fritz Leonhardt,1909-07-12T00:00:00Z,1999-12-30T00:00:00Z
71265,Werner Stengel,1936-08-22T00:00:00Z,
86955,Gabriel von Seidl,1848-12-09T00:00:00Z,1913-04-27T00:00:00Z
86933,Eduard Schönecker,1885-01-21T00:00:00Z,1964-04-06T00:00:00Z
86917,Anselm Franz von Ritter zu Groenesteyn,1692-09-15T00:00:00Z,1765-05-30T00:00:00Z
78979,Eduard van der Nüll,1812-01-09T00:00:00Z,1868-04-04T00:00:00Z
78979,Eduard van der Nüll,1812-01-09T00:00:00Z,1868-04-03T00:00:00Z
63199,Paul Troost,1878-08-17T00:00:00Z,1934-03-21T00:00:00Z
62637,Matthäus Daniel Pöppelmann,1662-05-03T00:00:00Z,1736-01-17T00:00:00Z
62918,Fazlur Khan,1929-04-03T00:00:00Z,1982-03-27T00:00:00Z
87005,Karl Ernstberger,1887-09-25T00:00:00Z,1972-11-22T00:00:00Z
87005,Karl Ernstberger,1887-09-25T00:00:00Z,1972-11-25T00:00:00Z
63191,Heinrich Tessenow,1876-04-07T00:00:00Z,1950-11-01T00:00:00Z
47812,Bertel Thorvaldsen,1770-11-19T00:00:00Z,1844-03-24T00:00:00Z
41580,Axel Munthe,1857-10-31T00:00:00Z,1949-02-11T00:00:00Z
71505,Ludwig Lange,1808-03-22T00:00:00Z,1868-03-31T00:00:00Z
71505,Ludwig Lange,1808-03-22T00:00:00Z,1868-01-31T00:00:00Z
71685,Gustav Friedrich Hetsch,1788-09-28T00:00:00Z,1864-09-07T00:00:00Z
63906,Jean René Pierre Litoux,1839-04-03T00:00:00Z,1903-01-17T00:00:00Z
63757,Edmond van Saanen Algi,1882-01-01T00:00:00Z,1938-01-01T00:00:00Z
64104,Richard Riemerschmid,1868-06-20T00:00:00Z,1957-04-13T00:00:00Z
166567,Robert A. M. Stern,1939-05-23T00:00:00Z,
73874,Hans Grässel,1860-08-18T00:00:00Z,1939-03-10T00:00:00Z
87055,Roderich Fick,1886-11-16T00:00:00Z,1955-07-13T00:00:00Z
167073,Eero Saarinen,1910-08-20T00:00:00Z,1961-09-01T00:00:00Z
64412,Frei Otto,1925-05-31T00:00:00Z,2015-03-09T00:00:00Z
64434,Carl Ferdinand Langhans,1782-01-14T00:00:00Z,1869-11-22T00:00:00Z
76903,Fritz Heitmann,1853-10-27T00:00:00Z,1921-08-13T00:00:00Z
74402,Rainer G. Rümmler,1929-07-02T00:00:00Z,2004-05-16T00:00:00Z
49450,Simon Bernard,1779-04-28T00:00:00Z,1839-11-05T00:00:00Z
49744,Victor Horta,1861-03-06T00:00:00Z,1947-09-09T00:00:00Z
49744,Victor Horta,1861-03-06T00:00:00Z,1947-09-08T00:00:00Z
49744,Victor Horta,1861-01-06T00:00:00Z,1947-09-09T00:00:00Z
49744,Victor Horta,1861-01-06T00:00:00Z,1947-09-08T00:00:00Z
65476,Karl Hell,1908-09-19T00:00:00Z,1999-01-01T00:00:00Z
64479,João Frederico Ludovice,1670-01-01T00:00:00Z,1752-01-01T00:00:00Z
64648,Lilly Reich,1885-06-16T00:00:00Z,1947-12-14T00:00:00Z
65803,Egon Eiermann,1904-09-29T00:00:00Z,1970-07-19T00:00:00Z
167816,Boris Iofan,1891-04-28T00:00:00Z,1976-03-11T00:00:00Z
167816,Boris Iofan,1891-03-28T00:00:00Z,1976-03-11T00:00:00Z
77103,Carl Ludvig Engel,1778-07-03T00:00:00Z,1840-05-14T00:00:00Z
77103,Carl Ludvig Engel,1778-07-03T00:00:00Z,1840-05-04T00:00:00Z
76846,Meinhard von Gerkan,1935-01-03T00:00:00Z,
102514,Franz Dischinger,1887-10-08T00:00:00Z,1953-01-09T00:00:00Z
103005,Wenzel Bürger,1869-09-27T00:00:00Z,1946-04-25T00:00:00Z
102436,Karl Emil Scherz,1860-08-31T00:00:00Z,1945-10-10T00:00:00Z
168060,Zbigniew Dłubak,1921-04-26T00:00:00Z,2005-08-21T00:00:00Z
103704,Karl Siegfried Döhring,1879-08-14T00:00:00Z,1941-06-01T00:00:00Z
103780,Hugo Hartung,1855-08-19T00:00:00Z,1932-12-21T00:00:00Z
103638,Philipp Hoffmann,1806-11-23T00:00:00Z,1889-01-03T00:00:00Z
103249,Gottfried Heinrich Krohne,1703-03-26T00:00:00Z,1756-05-30T00:00:00Z
103319,Albert Dietrich Schadow,1797-05-02T00:00:00Z,1869-09-05T00:00:00Z
103241,Johann Friedrich Knöbel,1724-06-14T00:00:00Z,1792-09-26T00:00:00Z
103302,Edmund von Trompowsky,1851-03-28T00:00:00Z,1919-01-19T00:00:00Z
104495,Adolf Schimmelpfennig,1834-01-01T00:00:00Z,1896-01-01T00:00:00Z
104432,Johann Daniel Schade,1730-01-01T00:00:00Z,1798-07-22T00:00:00Z
104368,Erhardt Gißke,1924-03-02T00:00:00Z,1993-07-19T00:00:00Z
74505,Eckart Muthesius,1904-05-17T00:00:00Z,1989-08-27T00:00:00Z
104898,Norman Foster,1935-06-01T00:00:00Z,
104292,Hermann von der Hude,1830-06-02T00:00:00Z,1908-06-04T00:00:00Z
104323,Matthias Berger,1825-04-24T00:00:00Z,1897-04-30T00:00:00Z
104350,Christian Zais,1770-03-04T00:00:00Z,1820-04-26T00:00:00Z
104317,Theodor Eyrich,1838-09-07T00:00:00Z,1907-09-30T00:00:00Z
168482,Santiago Calatrava,1951-07-29T00:00:00Z,
168482,Santiago Calatrava,1951-07-28T00:00:00Z,
74985,Heinrich Seeling,1852-10-01T00:00:00Z,1932-02-15T00:00:00Z
75067,Friedrich Lahrs,1880-07-11T00:00:00Z,1964-03-13T00:00:00Z
75147,Carl Alexander Heideloff,1789-02-02T00:00:00Z,1865-09-28T00:00:00Z
68746,Benno von Arent,1898-07-19T00:00:00Z,1956-10-14T00:00:00Z
